sample_id,severity,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,from_project,label,type_class,type_innerclass,type_interface
5394068,major,1,14,1,0,91,0.0,0.0,14,0,0,0,0,14,14,0,0,0,32,0,0,0,0,32,0,0,0,48,0,0,0,0,0,32,0,32,1,32,0,0,0,0,86,1,0,1,1,0.0,0.0,1.0
7307669,major,1,2,1,0,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,2,0,1,0,0,0,0,12,1,0,1,1,1.0,0.0,0.0
5414612,major,15,23,1,5,162,0.0,0.0,20,0,20,0,0,0,20,0,0,0,9,0,0,0,9,0,0,0,0,80,13,0,3,0,0,18,0,11,0,9,1,0,0,0,113,1,0,1,1,1.0,0.0,0.0
4611132,major,8,12,3,4,43,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,1,41,4,0,1,0,0,1,1,10,0,1,1,0,0,0,48,25,0,1,1,0.0,1.0,0.0
5681626,major,3,23,2,7,15,0.0,0.0,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,104,14,0,6,0,2,7,15,33,0,14,2,0,0,0,82,1,0,1,1,1.0,0.0,0.0
4451710,major,4,3,1,3,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,3,1,0,0,0,0,0,21,1,0,0,0,0,3,0,8,0,4,0,0,0,0,8,9,0,1,1,0.0,1.0,0.0
9012542,major,3,1,1,0,0,,,1,0,1,0,0,0,1,0,0,0,7,0,7,0,0,0,7,0,0,18,0,0,0,0,0,0,0,7,0,7,0,0,0,0,18,10,0,1,1,0.0,1.0,0.0
3850165,major,1,4,1,0,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,17,3,0,0,0,0,1,0,2,1,2,0,0,0,0,11,1,0,1,1,1.0,0.0,0.0
7160761,major,1,5,1,1,4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,1,23,4,0,0,0,0,1,0,3,0,3,0,0,1,0,21,1,0,1,1,1.0,0.0,0.0
9116510,major,2,3,2,0,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,2,0,0,0,0,0,0,1,2,1,0,0,0,0,11,1,0,1,1,0.0,1.0,0.0
4413114,major,1,4,1,0,2,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,1,0,2,0,2,0,0,0,0,9,1,0,1,1,1.0,0.0,0.0
7961199,major,3,5,2,1,4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,18,3,0,0,0,0,1,0,1,0,1,0,0,0,0,14,9,0,1,1,0.0,1.0,0.0
8279744,major,6,9,1,7,0,0.0,0.0,8,0,7,1,0,0,7,0,2,0,4,0,0,4,0,0,4,0,6,37,8,0,0,0,0,0,0,5,0,5,1,0,0,0,22,9,0,1,1,0.0,1.0,0.0
9171873,major,0,4,1,0,2,0.0,0.0,4,0,4,0,0,0,4,1,0,0,2,0,0,0,2,0,0,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,1025,0,1,1,0.0,1.0,0.0
7155743,major,0,2,1,0,0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0,1,1,1.0,0.0,0.0
4556934,major,1,8,1,0,2,0.0,0.0,8,1,7,1,0,0,7,0,0,0,6,0,0,6,0,0,6,0,0,37,7,0,0,0,0,0,0,6,0,6,0,0,0,0,16,1,0,1,1,1.0,0.0,0.0
4289354,major,3,4,1,0,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,2,0,2,0,1,0,0,0,0,5,1,0,1,1,1.0,0.0,0.0
6019048,major,1,2,1,0,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,9,0,1,1,0.0,1.0,0.0
7113247,major,0,4,1,1,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,1,0,0,2,0,1,1,1,1,0,0,0,30,25,0,1,1,0.0,1.0,0.0
6245494,major,0,16,1,2,19,0.0,0.0,10,0,10,0,0,0,10,0,10,0,4,0,0,4,0,0,0,0,3,42,6,0,4,0,0,2,3,5,0,4,1,0,0,0,93,1,0,1,1,1.0,0.0,0.0
8912820,major,2,20,1,22,4,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,0,0,3,0,0,0,82,5,3,3,0,0,15,4,11,5,8,4,0,1,0,59,1,0,1,1,1.0,0.0,0.0
8065474,major,8,10,2,4,45,0.0,0.0,10,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,10,0,0,42,10,0,0,0,0,1,9,10,0,10,0,0,0,0,28,1,0,1,1,0.0,1.0,0.0
5281568,major,9,14,1,15,59,0.0,0.0,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,1,63,8,0,0,0,0,7,1,6,0,8,0,0,0,0,29,1,0,1,1,1.0,0.0,0.0
5200864,major,3,17,1,3,118,0.0,0.0,17,0,17,0,0,0,17,0,0,0,9,0,0,9,0,0,3,0,0,64,10,0,0,0,0,2,0,9,1,9,0,0,0,0,78,1,0,1,1,1.0,0.0,0.0
7036119,major,1,8,4,1,0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,0,1,0,1,0,0,27,3,0,1,0,4,2,1,4,1,1,0,0,0,0,21,1,0,1,1,1.0,0.0,0.0
7548776,major,1,4,4,0,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,20,3,0,0,0,0,1,0,3,0,3,0,0,0,0,25,1025,0,1,1,1.0,0.0,0.0
7129689,major,3,4,2,0,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,1,0,0,0,0,1,0,1,0,0,0,0,36,1,0,1,1,1.0,0.0,0.0
8736543,major,4,9,1,10,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,33,8,0,0,0,0,3,0,3,0,3,1,0,0,0,34,1,0,1,1,1.0,0.0,0.0
3977344,major,2,4,1,0,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,0,0,14,1,0,1,1,1.0,0.0,0.0
3812473,major,1,3,1,1,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0,1,1,0.0,1.0,0.0
4431383,major,3,2,1,0,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0,1,1,1.0,0.0,0.0
5354848,major,9,17,1,0,91,0.0,0.0,15,0,15,0,0,0,15,0,0,0,8,0,0,0,8,0,0,0,0,63,9,0,2,0,0,11,0,8,0,8,1,0,0,0,102,1,0,1,1,1.0,0.0,0.0
5991563,major,16,32,1,44,249,0.0,0.0,27,0,24,3,0,0,24,0,0,0,9,0,0,9,0,0,9,0,10,124,29,0,4,1,0,11,2,12,1,14,1,0,0,2,74,17,0,1,1,1.0,0.0,0.0
5447313,major,0,14,1,0,69,0.0,0.0,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,50,7,0,0,0,0,0,2,8,1,6,0,0,0,0,59,1,0,1,1,1.0,0.0,0.0
7243958,major,19,54,4,22,64,0.0,0.0,20,1,19,0,1,0,20,0,0,0,7,0,0,7,0,0,0,0,18,192,24,0,15,0,2,27,15,17,9,12,1,0,3,0,155,1,0,1,1,1.0,0.0,0.0
7294947,major,3,9,1,2,6,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,36,8,0,1,0,0,1,1,4,0,4,1,0,0,0,20,10,0,1,1,0.0,1.0,0.0
6257015,major,0,2,1,0,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,2,0,1,0,0,0,0,13,9,0,1,1,0.0,1.0,0.0
8400746,major,1,30,1,0,405,0.0,0.0,30,0,30,0,0,0,30,0,0,0,15,0,0,15,0,0,0,0,0,130,15,0,0,0,0,0,0,15,0,15,0,0,1,0,30,1,0,1,1,0.0,1.0,0.0
6483071,major,26,121,1,90,386,0.0,0.0,41,3,25,16,0,0,25,0,0,0,23,0,0,23,0,0,3,0,3,509,21,16,18,9,2,68,32,110,16,74,6,0,0,0,253,1,0,1,1,1.0,0.0,0.0
7323687,major,6,3,3,1,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,1,16,2,0,0,0,0,1,0,2,0,2,0,0,0,0,35,1,0,1,1,1.0,0.0,0.0
8347642,major,2,15,1,3,0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,11,5,5,6,0,0,5,0,0,77,13,0,1,0,0,0,16,24,0,12,3,0,0,0,103,1,0,1,1,1.0,0.0,0.0
7351641,major,6,9,2,4,24,0.0,0.0,9,0,8,0,1,0,9,0,0,0,3,0,0,3,0,0,0,0,1,35,4,0,0,0,0,1,0,5,0,4,0,0,0,0,38,1,0,1,1,1.0,0.0,0.0
6214208,major,4,7,1,0,9,0.0,0.0,7,0,6,1,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,71,6,0,0,0,0,0,0,6,0,6,0,0,1,0,37,1,0,1,1,1.0,0.0,0.0
7501187,major,0,5,1,0,4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,2,0,0,22,3,0,0,0,0,0,0,3,0,3,0,0,0,0,32,1,0,1,1,1.0,0.0,0.0
3757097,major,8,27,3,6,258,0.07,0.07,25,0,24,0,1,0,25,0,0,0,7,0,0,3,4,0,0,0,0,90,8,0,1,0,0,0,0,11,0,7,1,0,0,0,42,1,0,1,1,1.0,0.0,0.0
6261774,major,1,4,1,0,2,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,19,4,0,0,0,0,0,0,3,0,3,0,0,0,0,65,1,0,1,1,1.0,0.0,0.0
3700666,major,19,177,1,77,2034,0.206964,0.5809859,80,2,71,8,1,0,72,0,2,0,10,0,0,10,0,0,0,0,21,739,91,0,65,1,54,4,71,111,0,25,3,0,0,0,108,25,0,1,1,0.0,1.0,0.0
5767556,major,12,6,3,1,9,0.0,0.0,6,0,6,0,0,0,6,0,0,0,5,2,1,4,0,0,2,0,0,27,3,0,0,0,0,1,1,5,0,5,0,0,0,0,32,1,0,1,1,1.0,0.0,0.0
7301167,major,3,4,1,0,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,3,0,3,0,3,0,0,0,0,14,1,0,1,1,1.0,0.0,0.0
4975591,major,2,9,1,3,0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,1,1,2,0,0,3,0,3,27,7,0,3,0,0,3,0,4,2,4,1,0,0,0,21,1,0,1,1,1.0,0.0,0.0
8387845,major,4,6,1,0,9,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,1,0,3,0,3,0,0,0,0,16,9,0,1,1,0.0,1.0,0.0
7247219,major,0,8,1,1,8,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,1,3,0,0,0,0,33,5,0,0,0,1,1,1,6,1,4,0,0,0,0,35,1,0,1,1,1.0,0.0,0.0
6890147,major,0,1,1,0,0,,,1,0,1,0,0,0,1,0,0,0,3,1,2,0,0,1,1,0,0,9,0,0,0,0,0,0,1,3,0,3,0,0,0,0,48,1,0,1,1,1.0,0.0,0.0
7240692,major,13,26,1,1,129,0.0,0.0,18,3,11,0,7,0,18,0,0,1,12,1,0,11,0,1,0,0,1,94,11,2,4,0,0,4,0,13,0,12,2,0,0,0,98,1,0,1,1,1.0,0.0,0.0
6009432,major,1,11,3,0,33,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,1,0,3,0,0,1,0,0,41,2,0,0,0,0,0,1,6,0,3,0,0,0,0,29,1,0,1,1,1.0,0.0,0.0
9260596,major,1,3,2,0,0,0.6666667,1.0,3,0,0,0,0,3,3,0,0,0,2,0,0,0,0,2,2,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,8,0,0,1,1.0,0.0,0.0
9114822,major,15,65,2,46,177,0.0,0.0,30,0,27,0,3,0,30,0,0,0,11,0,0,3,7,1,0,0,7,197,11,0,24,0,1,1,15,32,2,15,3,3,0,0,76,1,0,1,1,1.0,0.0,0.0
3791832,major,19,64,4,26,499,0.0,0.0,54,0,52,2,0,0,52,0,0,0,9,0,0,6,0,3,0,0,2,242,51,1,4,1,2,8,8,21,5,13,2,0,1,0,87,1,0,1,1,1.0,0.0,0.0
4246628,major,2,9,3,5,28,0.0,0.0,9,0,9,0,0,0,9,0,0,0,9,5,4,5,0,0,5,0,0,43,5,0,0,0,0,4,4,14,3,10,0,0,0,0,85,1,0,1,1,1.0,0.0,0.0
6541523,major,9,9,3,7,18,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,0,4,0,0,0,0,31,4,0,1,0,0,6,0,6,0,4,1,0,0,0,37,1,0,1,1,1.0,0.0,0.0
5946774,major,3,4,2,0,2,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,17,2,0,0,0,0,0,0,2,0,2,0,0,1,0,10,1,0,1,1,1.0,0.0,0.0
8044367,major,7,8,2,4,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,8,0,0,34,8,0,0,0,0,1,7,8,0,8,0,0,0,0,23,1,0,1,1,0.0,1.0,0.0
3920625,major,2,8,1,0,20,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,13,1,0,1,1,1.0,0.0,0.0
5515839,major,0,4,1,0,2,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,20,1,0,1,1,1.0,0.0,0.0
7463516,major,3,3,1,1,1,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,0,0,1,14,1,0,0,0,0,1,0,2,0,3,0,0,0,0,8,1,0,1,1,1.0,0.0,0.0
6207228,major,7,12,1,9,39,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,2,0,2,46,5,0,1,0,0,0,2,11,1,8,1,0,0,0,68,1,0,1,1,1.0,0.0,0.0
5473710,major,6,5,1,0,10,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,1,0.0,0.0,1.0
5097474,major,1,15,1,6,0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,33,9,0,11,0,2,0,4,7,4,5,1,0,0,0,26,1,0,1,1,1.0,0.0,0.0
5948040,major,1,6,1,0,3,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,0,0,4,0,2,0,0,0,0,8,1,0,1,1,1.0,0.0,0.0
5775703,major,10,16,1,3,22,0.0,0.0,13,0,13,0,0,0,13,0,0,0,7,1,0,7,0,0,2,0,0,58,11,0,3,0,0,6,1,8,0,8,1,0,0,0,41,1,0,1,1,1.0,0.0,0.0
5627187,major,4,8,3,7,1,0.0,0.0,7,0,6,1,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,30,2,0,0,0,0,3,0,6,1,2,1,0,0,0,30,17,0,1,1,1.0,0.0,0.0
7625447,major,2,6,1,0,9,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,26,6,0,0,0,0,0,0,3,0,3,0,0,0,0,21,1,0,1,1,1.0,0.0,0.0
3874200,major,2,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18,1,0,1,1,0.0,0.0,1.0
3974797,major,2,12,1,4,0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,31,8,0,6,0,1,0,1,3,0,2,1,0,0,0,36,1,0,1,1,1.0,0.0,0.0
4558704,major,9,172,2,161,837,0.0,0.0,43,0,37,5,0,1,38,0,0,0,11,0,0,11,0,0,0,0,16,387,35,1,27,0,3,11,4,14,7,14,2,0,0,0,354,17,0,1,1,1.0,0.0,0.0
8290693,major,6,16,1,3,37,0.0,0.0,15,0,15,0,0,0,15,0,0,0,10,0,0,10,0,0,10,0,0,70,13,0,0,0,0,0,6,12,1,11,1,0,0,0,41,1,0,1,1,1.0,0.0,0.0
7147207,major,1,6,1,0,9,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1,0,1,1,1.0,0.0,0.0
8169113,major,2,11,1,7,14,0.30555555,0.41666666,9,0,9,0,0,0,9,1,0,0,2,0,0,0,2,0,0,0,0,33,6,0,1,0,0,4,0,4,1,2,1,0,0,0,39,1025,0,1,1,1.0,0.0,0.0
3763847,major,6,10,1,0,29,0.17777778,0.8,10,0,10,0,0,0,10,0,0,0,8,0,0,0,8,0,0,0,0,40,9,0,0,0,0,27,0,0,2,8,0,0,0,0,36,1,0,1,1,1.0,0.0,0.0
7725645,major,1,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,14,1,0,1,1,1.0,0.0,0.0
3763661,major,3,21,2,1,116,0.12857144,0.73333335,21,0,20,0,1,0,21,0,0,0,10,0,0,10,0,0,0,0,0,84,20,0,0,0,0,11,0,10,2,10,0,0,0,0,161,1,0,1,1,1.0,0.0,0.0
6538820,major,2,6,1,0,0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,25,4,0,0,0,0,3,0,3,1,3,0,0,0,0,43,1,0,1,1,1.0,0.0,0.0
7168076,major,0,8,1,0,20,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,18,1,0,1,1,1.0,0.0,0.0
8403578,major,3,38,1,3,651,0.0,0.0,38,0,38,0,0,0,38,0,0,0,19,1,0,19,0,0,1,0,0,134,19,0,0,0,0,6,1,19,0,19,0,0,0,0,56,1,0,1,1,1.0,0.0,0.0
6066851,major,1,2,1,0,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,1,0.0,1.0,0.0
9136234,major,1,9,1,2,28,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,34,4,0,0,0,0,4,0,8,0,4,0,0,0,0,36,1,0,1,1,1.0,0.0,0.0
6293765,major,1,34,1,0,561,0.0,0.0,34,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1,0,1,1,0.0,0.0,1.0
7027539,major,6,38,2,17,75,0.0,0.0,15,0,15,0,0,0,15,0,0,0,3,0,0,3,0,0,0,0,0,92,22,1,24,1,6,10,5,12,7,7,1,0,0,0,108,1,0,1,1,1.0,0.0,0.0
6330576,major,4,5,2,0,6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,1,0,0,20,2,0,0,0,0,0,1,3,0,3,0,0,0,0,21,1,0,1,1,1.0,0.0,0.0
7959083,minor,9,65,1,37,420,0.0,0.0,37,1,31,2,4,0,35,0,12,0,4,0,0,4,0,0,0,0,13,215,12,0,14,1,0,11,10,19,1,12,3,0,1,0,223,1,0,1,1,1.0,0.0,0.0
